================================================================================
REVISION MANUAL — ofertastrendy20
================================================================================
Generado: 2026-03-10 14:06


================================================================================
1. MATCHES POR HORA CERCANA (58) — Verificar que el match es correcto
================================================================================
 BD_ID |   FECHA BD | HORA BD |          HORA TK |   DIFF |                            PRODUCTO
----------------------------------------------------------------------------------------------------
   914 | 2026-03-08 |   17:05 |   Programado | palo_selfie_novete
   910 | 2026-03-09 |   12:20 |   Programado | palo_selfie_novete
   733 | 2026-03-09 |   14:20 |   Programado | shilajit_resina_himalaya

================================================================================
3. TK HUÉRFANOS (124) — Posts en TikTok sin video en BD
================================================================================
             POST_ID |             FECHA TK |                            PRODUCTO | TÍTULO
------------------------------------------------------------------------------------------------------------------------
 7604471973720116502 |         9 feb, 14:10 |            shilajit_resina_himalaya | Suplemento natural en cápsulas blandas c
 7604472394924723479 |         9 feb, 15:45 |                                 ??? | Ideal si buscas formato cápsula de oréga
 7604474369154305302 |         9 feb, 18:00 |          Taza_cafe_inteligente_tapa | Anillo inteligente con sensor integrado
 7605171340219272470 |        10 feb, 11:30 |   landot_cepillo_electrico_alisador | Landot cepillo alisador de pelo  Doble d
 7604958255521008918 |        10 feb, 16:45 |                                 ??? | Smart ring con tracker deportivo y diseñ
 7605294571311893782 |        10 feb, 18:47 |   landot_cepillo_electrico_alisador | Sumellier abridor eléctrico pack san Val
 7605298151792299267 |        10 feb, 20:18 |             paraguas_sunny_umbrella | Paraguas con grip y botón de abrir  Prom
 7605299730653908246 |        10 feb, 21:36 |             paraguas_sunny_umbrella | Paraguas con grip y botón de abrir autom
 7605274914702052630 |        11 feb, 09:00 |   landot_cepillo_electrico_alisador | Landot cepillo eléctrico alisador de pel
 7605301371683884310 |        11 feb, 10:34 |             paraguas_sunny_umbrella | Paraguas con grip y botón de abrir autom
 7605300015312932118 |        11 feb, 13:30 |   landot_cepillo_electrico_alisador | Landot cepillo alisador de pelo eléctric
 7605302702150602006 |        11 feb, 14:35 |             paraguas_sunny_umbrella | Paraguas con grip y botón de abrir autom
 7605173949776874774 |        11 feb, 18:28 |   landot_cepillo_electrico_alisador | Landot alisador de pelo eléctrico  Doble
 7604501916671823126 |        11 feb, 19:20 |                                 ??? | Diseño ergonómico y estilo moderno. Elig
 7604503207733103894 |        11 feb, 21:55 |                                 ??? | Modelo elegante con acabado metálico. Re
 7604958644018400534 |        11 feb, 22:05 |          Taza_cafe_inteligente_tapa | Anillo inteligente con varios diseños a
 7605276776113147158 |        12 feb, 09:07 |   landot_cepillo_electrico_alisador | Landot cepillo eléctrico de pelo y alisa
 7605318008520674582 |        12 feb, 11:30 |          Taza_cafe_inteligente_tapa | El anillo inteligente Simson es verdader
 7605316864826199318 |        12 feb, 14:25 |                                 ??? | ¿Quien más esta listo para actualizar su
 7605314692923493634 |        12 feb, 16:35 |   landot_cepillo_electrico_alisador | Abridor eléctrico de botellas pack sumel
 7605307434394979606 |        12 feb, 18:30 |                                 ??? | Proyectos de pantalla con privacidad Mag
 7605305837489294614 |        12 feb, 20:00 |             paraguas_sunny_umbrella | Paraguas con grip y botón de abrir autom
 7605312169130872086 |        12 feb, 22:25 |               aceite_oregano_vivonu | Magic john pack de dos protectores con p
 7605319465764539670 |        12 feb, 23:55 |                                 ??? | ¡Oye, èchale un vistazo! ¡Es un cuatro e
 7605986965711818006 |        13 feb, 08:00 |           arrancador_coche_EIGOTRAV | TikTok Shop activa cupón automático para
 7605277622318189846 |        13 feb, 09:11 |   landot_cepillo_electrico_alisador | Landot cepillo y alisador electrico Prom
 7605303654576295190 |        13 feb, 12:01 |             paraguas_sunny_umbrella | Paraguas con grip y botón de abrir autom
 7605322443191848214 |        13 feb, 17:30 |               aceite_oregano_vivonu | Cápsulas blandas de aceite de orégano di
 7606407255080144130 |        13 feb, 18:45 |             paraguas_sunny_umbrella | El paraguas más viral de TikTok está de
 7605988103416909058 |        13 feb, 19:00 |               botella_bottle_bottle | ¿La viste en TikTok? Esta botella de ace
 7606409195742629142 |        13 feb, 21:00 |             paraguas_sunny_umbrella | Paraguas automático  Producto mega viral
 7605990776710974742 |        14 feb, 09:05 |                                 ??? | Talla + color activan rebaja oculta. Tik
 7605992480080809238 |        14 feb, 10:55 |           arrancador_coche_EIGOTRAV | Ideal para emergencias, este arrancador
 7605991329595723030 |        14 feb, 13:10 |           arrancador_coche_EIGOTRAV | TikTok aplica descuento secreto sin códi
 7605992973276384534 |        14 feb, 15:15 |           arrancador_coche_EIGOTRAV | Ideal para emergencias, este arrancador
 7606411477213318422 |        14 feb, 17:31 |             paraguas_sunny_umbrella | Paraguas  Producto viral y top ventas As
 7606765719937748246 |        14 feb, 17:56 |               botella_bottle_bottle | Botella Bottle bottle  Botella termo de
 7606417593326669058 |        14 feb, 19:54 |               botella_bottle_bottle | Botella de agua bottle bottle extra gran
 7606782578225384726 |        14 feb, 22:07 |          Taza_cafe_inteligente_tapa | Taza mezcladora para tu momento favorito
 7606767441145859350 |        15 feb, 08:00 |               botella_bottle_bottle | Botella bottle bottle  Promoción solo ho
 7605278630121409814 |        15 feb, 09:15 |   landot_cepillo_electrico_alisador | Landot cepillo y alisador de pelo eléctr
 7605998349371837719 |        15 feb, 11:20 |          Taza_cafe_inteligente_tapa | Rebaja directa en el anillo inteligente
 7606418811125910806 |        15 feb, 15:31 |               botella_bottle_bottle | Botella bottle bottle 27€ y envío gratis
 7606795310148553986 |        15 feb, 22:00 |               aceite_oregano_vivonu | Pack de herramientas  Mega promoción sol
 7606783301210213654 |        16 feb, 10:30 |          Taza_cafe_inteligente_tapa | Taza mezcladora para tu momento favorito
 7606790169571708182 |        16 feb, 12:00 |                                 ??? | Batidora portatil para zumos, batidos, s
 7606793459168529686 |        16 feb, 14:10 |               aceite_oregano_vivonu | Doble descuento en el pack de herramient
 7606800338565303574 |        16 feb, 16:35 |                                 ??? | Batidora portatil  Perfecta para smoothi
 7606000862045031702 |        16 feb, 18:55 |  MINISO_MS180_Auriculares_Bluetooth | Oferta doble activa: cupón + rebaja del
 7606785266757520662 |        16 feb, 20:30 |          Taza_cafe_inteligente_tapa | Taza mezcladora para tu momento favorito
 7607526712624057622 |        17 feb, 10:50 |          Taza_cafe_inteligente_tapa | Anillo Inteligente Fitness Tracker SIMSO
 7607553158377835799 |        17 feb, 15:50 |  MINISO_MS180_Auriculares_Bluetooth | OFERTA: POR MENOS DE 40€ en Manta Eléctr
 7607554582524316950 |        17 feb, 16:40 |      NIKLOK_Manta_electrica_127x152 | Ahorras 14€ hoy en Plancha Eléctrica Coc
 7607889452727405846 |        17 feb, 22:15 |                                 ??? | Magic John protector de pantalla con pri
 7607902161900571926 |        18 feb, 10:28 |             bateria_power_bank_5000 | Bateria inalámbrica con tecnología MagSa
 7607734661913136406 |        18 feb, 11:35 |          Taza_cafe_inteligente_tapa | 40% de descuento en Anillo Inteligente F
 7607730506872114435 |        18 feb, 11:35 |          Taza_cafe_inteligente_tapa | Anillo Inteligente Fitness Tracker SIMSO
 7607765848429825302 |        18 feb, 15:40 |  MINISO_MS180_Auriculares_Bluetooth | HOY la tienes por menos de 40€. Llévate
 7607767120004254998 |        18 feb, 17:20 |      NIKLOK_Manta_electrica_127x152 | Ahorras 14€ hoy en Plancha Eléctrica Coc
 7607769427978833174 |        18 feb, 19:35 |                  proyector_magcubic | Menos de 22€ hoy en Proyector Magcubic H
 7607892386114587926 |        18 feb, 22:30 |           perfume_lonkoom_24k_100ml | Pack duo promoción especially de Lonkoom
 7608269266877549846 |        19 feb, 10:30 |          Taza_cafe_inteligente_tapa | Anillo Inteligente Fitness Tracker SIMSO
 7608273899612163350 |        19 feb, 16:20 |      NIKLOK_Manta_electrica_127x152 | Ahorras 14€ hoy en Plancha Eléctrica Coc
 7608636181860961558 |        19 feb, 19:10 |             bateria_power_bank_5000 | Power Bank Magnético 5000mAh por debajo
 7608643473780051222 |        19 feb, 19:22 |             bateria_power_bank_5000 | Bateria MagSafe  Super precio hoy! Carga
 7607898484167134467 |        19 feb, 22:15 |               aceite_oregano_vivonu | Pack abridor de vinos elegante electric
 7608902091205053698 |        20 feb, 12:06 |             bateria_power_bank_5000 | Bateria inalámbrica magnética para carga
 7608907921874799894 |        20 feb, 13:05 |   landot_cepillo_electrico_alisador | Cepillo alisador de Landot  Doble promoc
 7608903990390099222 |        20 feb, 14:00 |             bateria_power_bank_5000 | Súper oferta batería de móvil inalámbric
 7608928649701625110 |        20 feb, 15:00 |  MINISO_MS180_Auriculares_Bluetooth | Smart watch  Doble Oferta solo hoy! Smar
 7608914212106095894 |        20 feb, 16:00 |   landot_cepillo_electrico_alisador | Oferta Landot alisador de pelo! Doble de
 7608926422987508994 |        20 feb, 17:10 |          Taza_cafe_inteligente_tapa | Smartwatch reloj inteligente con la nuev
 7608930181272587542 |        20 feb, 18:07 |                  palo_selfie_novete | Smart Face Tracking Selfie Stick recarga
 7608980384071634179 |        20 feb, 21:35 |                                 ??? | 15€ y pico no, se queda por debajo el An
 7607899990136048918 |        20 feb, 22:30 |            shilajit_resina_himalaya | Shilajit puro del Himalaya  Te da fuerza
 7609264313609506070 |        22 feb, 14:05 |  MINISO_MS180_Auriculares_Bluetooth | 500 noches por menos de 22€ en Melatonin
 7609269359340522774 |        22 feb, 18:15 |  MINISO_MS180_Auriculares_Bluetooth | Por menos de 10€ en Taza de café intelig
 7609727836605205782 |        23 feb, 00:02 |              cargador_coche_livopro | Cargador inalámbrico para móviles!  Llev
 7609279429587553539 |        23 feb, 11:45 |               melatonina_aldous_500 | 300 tomas por solo 7 céntimos cada una
 7609735425120292118 |        24 feb, 12:55 |                                 ??? | 25€ y pico no, se queda por debajo la Bo
 7609741743390674198 |        24 feb, 18:45 |      NIKLOK_Manta_electrica_127x152 | Plancha Eléctrica por menos de 55€ 🔥 Bl
 7609739320613686550 |        24 feb, 22:15 |  MINISO_MS180_Auriculares_Bluetooth | Taza de café automática por menos de 10€
 7609969451462675734 |        25 feb, 22:40 |  MINISO_MS180_Auriculares_Bluetooth | Por menos de 10€ en Taza de café intelig
 7610116567220997398 |        26 feb, 15:50 |                                 ??? | 25€ y pico no, se queda por debajo y con
 7610731046845287682 |        27 feb, 16:55 |                                 ??? | 25€ y pico no, se queda por debajo y con
 7610789474242415894 |        27 feb, 21:10 |  MINISO_MS180_Auriculares_Bluetooth | 500 noches por menos de 22€ en Melatonin
 7611886458009373974 |        28 feb, 20:15 |                        cable_4_en_1 | Cable de carga para movil 4 en 1 ahora p
 7611889726743645462 |        28 feb, 22:00 |                        cable_4_en_1 | Cable 4 en 1 de casi 2 metros, extra rob
 7611565772577443094 |         1 mar, 09:30 |                                 ??? | 25€ y pico no, se queda por debajo y con
 7611579606331641110 |         1 mar, 10:00 |                                 ??? | 40€ y pico no, se queda por debajo el Pr
 7611580183321103638 |         1 mar, 10:25 |  MINISO_MS180_Auriculares_Bluetooth | Por menos de 10€ en Taza de café intelig
 7611599915113843990 |         1 mar, 17:30 |           perfume_lonkoom_24k_100ml | Perfume LONKOOM 24K 100ml por menos de 1
 7611601157642784022 |         1 mar, 18:30 |               melatonina_aldous_500 | 300 cápsulas por solo 7 céntimos cada un
 7611597642606316822 |         1 mar, 19:25 |          drdent_tiras_blanqueadoras | DR.DENT 42 tiras = 21 aplicaciones por m
 7611598273438027030 |         1 mar, 20:00 |   landot_cepillo_electrico_alisador | No llega a 34€ solo hoy el Cepillo Alisa
 7611601926165204246 |         1 mar, 20:35 |            shilajit_resina_himalaya | Envío gratis y menos de 25€ el Shilajit
 7611598936226254102 |         1 mar, 21:35 |               botella_bottle_bottle | No llega a 25€ la Botella Bottle Bottle
 7611891832896769302 |         1 mar, 22:11 |              cargador_coche_livopro | Cargador de movil para coches Con luces
 7611895915271572758 |         1 mar, 22:30 |          Taza_cafe_inteligente_tapa | Palo selfie stick inteligente de bolsill
 7611866994140482818 |         2 mar, 08:45 |                                 ??? | 40€ y pico no, se queda por debajo el Pr
 7612204500375424278 |         3 mar, 13:45 |                       anillo_simson | Por debajo de 15€ el Anillo Simson 🔥 Ap
 7612204965741956354 |         3 mar, 14:30 |   landot_cepillo_electrico_alisador | Landot Cepillo Eléctrico Alisador no lle
 7612208525128895766 |         3 mar, 17:30 |          Taza_cafe_inteligente_tapa | Reloj inteligente Mingtawn no llega a 31
 7612328599823060246 |         4 mar, 12:10 |                                 ??? | 40€ y pico no, se queda por debajo el Pr
 7612652188841626902 |         5 mar, 09:05 |                                 ??? | 40€ y pico no, se queda por debajo el Pr
 7612655772308213014 |         5 mar, 10:30 |                                 ??? | 15€ y pico no, se queda por debajo el An
 7613080013142854934 |         5 mar, 14:15 |   landot_cepillo_electrico_alisador | 34€ y pico no: Cepillo Eléctrico Alisado
 7613082339685584150 |         5 mar, 17:45 |          Taza_cafe_inteligente_tapa | Reloj inteligente Mingtawn no llega a 31
 7613093541568613654 |         6 mar, 12:20 |  MINISO_MS180_Auriculares_Bluetooth | POR MENOS DE 18€ en Auriculares Bluetoot
 7613095504993438998 |         6 mar, 15:10 |                  proyector_magcubic | Se queda por debajo de 40€ el Proyector
 7613096076718918934 |         6 mar, 16:10 |                       anillo_simson | Menos de 15€ en Anillo Simson 🔥 Últimas
 7613096633349278998 |         6 mar, 16:55 |   landot_cepillo_electrico_alisador | 34€ y pico no: Cepillo Eléctrico Alisado
 7613097764012035350 |         6 mar, 17:35 |           arrancador_coche_EIGOTRAV | 10€ de cupón en Arrancador de Batería EI
